Carat,Clarity,Color,Depth,Table,Price,Lab,Dealer
2.24,VS2,I,61.09999847,60,19812.8,J,164
2.24,VS2,I,60.5,60,19812.8,J,164
0.74,VS2,G,60.79999924,56,4401.15,J,6
0.76,SI2,D,,,3940.6,D,113
0.74,VVS2,E,60,60,5332.1625,J,6
0.75,VVS2,H,61.70000076,59,4432.03125,J,6
0.75,SI2,F,63,56,3717.1875,J,6
1.07,SI1,F,60.70000076,59,8354.56,J,184
1.41,VS2,D,59.79999924,55,13589.58,J,184
1.68,SI1,H,57.79999924,60,14347.2,J,153
1.65,SI1,G,59.29999924,60,15500.1,J,153
0.75,SI1,E,61.70000076,60,4289.0625,J,6
1.64,VS1,G,62.5,56,18407.36,J,153
1.48,SI2,E,57.09999847,62,9479.4,I,21
1.62,SI1,H,60.70000076,61,13834.8,J,153
1.62,VS1,H,62.79999924,60,15613.56,J,153
1.1,VS2,D,,,9058.5,J,122
0.76,VS1,I,59.29999924,62,3911.625,J,6
0.76,VS1,H,60,61,4288.3,J,6
0.44,SI1,F,61.40000153,56,1388.97,J,146
0.76,VS1,F,59.70000076,65,4751.9,J,6
0.9,VS2,D,62.70000076,65,6176.25,J,7
0.77,VS2,H,62.09999847,59,4051.1625,J,6
0.77,VS2,G,60.09999847,62,4462.15,J,6
0.77,VS2,G,57.59999847,61,4344.725,J,6
1.15,SI2,G,59.38869858,58,7225.45,I,49
0.78,VS1,J,62.70000076,59,3419.8125,J,6
1.12,SI1,H,60.65570068,60,7173.6,I,49
0.78,SI2,F,61.70000076,60,3657.7125,none,6
0.79,VS1,I,59.79999924,62,4066.03125,J,6
0.8,VS2,H,58.90000153,63,4209,J,6
0.81,VS1,G,58.90000153,66,4848.35625,J,6
0.89,I1,I,66.30000305,63,2544.84375,none,6
0.89,VS2,I,64.80000305,55,4682.5125,J,6
0.9,SI2,G,61.40000153,64,5146.875,J,6
0.9,VS2,E,60.40000153,60,7068.375,J,6
1.11,SI2,F,60.17829895,59,7109.55,I,49
2.01,VS1,E,62.20000076,56,35173.74375,J,210
0.91,VVS2,H,62.59999847,62,6557.11875,J,6
1.06,SI2,F,60.25740051,61,6789.3,I,49
0.92,VS1,I,64,60,5120.95,J,6
0.92,VS2,H,63.20000076,60,5927.675,J,6
2.28,VS2,F,58.70000076,63,31293,J,220
1.04,SI2,F,59.08750153,62,6661.2,I,49
0.51,SI2,F,64.71179962,6,1477.725,I,21
0.93,VS2,G,64,57,6382.125,J,6
2.4,VS1,K,6,60,14091,J,217
0.97,VVS2,H,62.09999847,60,7174.3625,J,6
0.54,VS1,F,,,2594.025,I,139
1.06,SI2,D,60.51440048,61,7395.4875,I,49
1.3,VS1,E,60.79999924,58,13818.025,J,220
1.02,SI2,D,58.25830078,59,6921.975,I,49
1.01,VS2,E,,,8548.3875,B,122
1,VS2,J,66.30000305,57,5261.25,J,6
1,VS2,H,60,60,7663.125,J,6
1.27,VS2,J,60.09999847,57,7127.24,J,161
0.7,VS1,G,,,4163.25,J,122
0.96,VS2,H,,,6148.8,J,122
1.01,VS1,J,62.20000076,59,6083.9875,J,6
3.11,VS2,F,61.5,61,56438.725,J,222
1.01,VS1,I,64.30000305,64,6006.975,J,6
1.01,VS2,H,58,61,7585.73125,J,6
1.05,SI2,E,60.09999847,62,7205.625,C,150
1.16,SI1,H,60.69070053,60,6368.4,I,214
1.01,VS2,H,64.69999695,63,6854.1125,J,6
0.84,VVS2,F,60,57,6097.56,J,225
1.01,VS1,H,58.79999924,61,8124.81875,J,6
1.76,SI1,I,61.40000153,58,13097.92,J,154
1,SI2,G,,,4460.625,other,149
1.5,SI2,D,65.7303009,60,9687.5625,I,214
1.01,SI2,G,62.79999924,63,6469.05,J,6
1.01,VS1,G,60.5,63,9087.475,J,6
0.84,SI1,G,60.89110184,63,3855.81,I,214
0.5,VS2,E,3.099999905,,2573.4375,D,2
0.74,VS1,G,62.24940109,61,3667.625,I,214
0.73,VS1,G,63.79610062,61,3618.0625,I,214
1.66,SI2,I,62.20000076,63,8721.0175,D,184
0.58,SI1,F,62.09999847,59,2432.375,J,5
0.5,VS2,E,63.29629898,66,2127.375,I,214
1.01,VS1,G,56.70000076,67,8432.86875,J,6
1.01,VS1,G,59.59999847,61,9125.98125,J,6
1.01,SI2,F,56.20000076,62,6623.075,J,6
0.5,VS2,F,64.21269989,67,1938.275,I,214
1.01,SI1,F,63.5,64,7162.1625,J,6
0.74,VS2,D,,,4401.15,J,122
0.51,VS2,E,61.41730118,64,2169.9225,I,214
1.57,SI1,F,61,57,16891.43375,J,184
1.21,I1,E,67.80000305,58,3690.5,D,184
1.06,VVS2,I,61,56,7840.025,K,5
1.09,SI1,I,64.59999847,58,5186.22,D,184
0.91,VS2,I,63.54679871,58,4277.0455,I,214
0.7,VS1,E,64.25990295,57,3885.7,I,214
0.57,SI2,G,60.79999924,59,1356.03,D,145
1.7,VS2,I,60.20000076,59,14245.7875,J,125
0.7,VS1,G,61.53850174,59,3469.375,I,214
0.75,SI1,G,61.67100143,58,3442.6875,I,214
1.04,VS2,F,62.29999924,58,9363.744,J,184
1.02,SI2,H,64.30000305,60,5055.375,J,184
0.76,VS1,G,63.87440109,55,3766.75,I,214
0.7,VVS2,G,61.52479935,58,3677.5375,I,214
1.01,SI2,H,62.59999847,56,6161,J,184
1.02,SI2,H,63,57,5833.125,J,184
0.81,IF,H,61.70000076,56,5669.7975,J,125
0.75,SI1,F,60.75090027,59,3494.15625,I,214
0.82,IF,H,60.5,58,5739.795,J,125
0.78,VS1,H,64.41560364,56,3746.925,I,214
1.01,SI1,F,62.59999847,59,7688.928,J,184
1.01,SI1,E,61.79999924,60,8509.88125,J,6
0.9,SI2,G,63.5,57,4941,J,184
1.02,VS1,H,63.70000076,59,7665.504,J,184
1.01,VS2,E,62.40000153,57,9241.5,J,184
0.8,VS2,H,62.17359924,58,3672.2,I,214
0.9,SI2,G,64.30000305,50,4743.36,J,184
0.81,SI2,D,65.5565033,57,4150.44,I,214
1,SI2,E,62.09999847,57,6862.5,J,125
0.85,SI2,E,62.70000076,60,5068.3375,J,184
0.91,SI2,H,64.19999695,56,4396.392,J,184
0.75,VS2,G,62.45679855,58,3494.15625,I,214
0.9,SI1,H,59,63,4941,J,184
0.9,VS2,G,64.59999847,61,5710.9725,J,184
0.75,I1,G,61.70000076,59,2470.5,J,184
2.01,SI2,D,,,17333.98875,D,214
0.7,VS2,J,60.09999847,61,2562,J,184
1.61,SI1,E,62.5,58,17677.8,J,153
0.8,VS2,F,63.40000153,55,5063,J,184
0.77,VVS2,H,60,59,4249.61075,J,184
1.7,VS1,J,57.5,59,12327.3375,J,125
0.76,SI2,F,62.70000076,61,3588.264,J,184
2.8,VVS2,H,61,58,37020.9,J,225
0.76,SI1,G,62.09999847,60,3986.96,J,184
0.71,I1,H,62.09999847,58,2165.5,J,184
1.51,SI1,D,60,57,17351.22125,J,125
0.74,SI2,K,65,56,2031.3,J,184
0.71,SI2,G,63.79999924,56,3040.362,J,184
0.7,SI1,E,,,4003.125,D,198
0.7,VS2,F,61.79999924,59,4003.125,J,184
1.01,SI1,E,62,57,7839.8725,J,125
0.8,VVS2,G,62.5,59,5172.8,J,125
1.61,SI2,E,62.90000153,61,12890.0625,D,176
1.01,VS2,E,60,60,9549.55,J,6
0.41,SI1,F,61.40000153,61,1179.2215,J,146
1.01,VS1,E,58.09999847,63,10396.6875,J,6
1.56,VS1,H,60.20000076,58,15035.28,J,125
1.01,SI2,E,61.40000153,58,6931.125,J,125
1.01,VS2,D,63.20000076,63,9357.01875,J,6
1.02,SI2,K,62.5,58,4238.7375,B,6
1.09,VS2,J,63.20000076,58,5123.0545,J,74
2.01,SI1,E,59.40000153,63,26391.8025,J,69
1.52,SI1,H,63,55,13305.32,J,29
1.02,SI1,J,60,63,5210.925,none,6
1.02,VVS2,J,62.70000076,63,5910.9,J,6
1.52,SI1,D,60.40000153,60,17245.92,J,125
1.22,SI2,D,62.09999847,57,9730.415,J,125
1.77,SI2,E,61.79999924,61,16397.94375,J,125
1.3,SI1,G,62.29999924,62,9218.625,I,197
2.37,SI1,H,62.20000076,55,24884.11125,J,125
2.51,SI1,H,60.90000153,57,26354.05875,J,125
1.02,VS2,I,61.40000153,62,6533.1,J,6
0.82,VVS2,D,,,7002.8,J,122
2.65,VS2,J,61.29999924,59,16973.25,none,126
1.02,VS1,H,61.09999847,59,8205.2625,J,6
1.57,I1,I,61.70000076,62,6225.05,none,126
1.02,SI2,G,60,60,5872.0125,none,6
1.02,SI2,F,62.79999924,64,6377.55,J,6
0.92,VS1,E,60.09999847,62,7295.6,J,184
0.9,VS2,E,61.20000076,61,6807.6,J,184
1.02,VS2,F,64.19999695,59,8749.6875,J,6
0.9,SI1,H,60,65,4941,J,184
0.91,SI1,F,64.19999695,56,5828.55,J,184
1.21,VS2,K,62,57,5890.038,J,225
0.77,SI2,F,60.09999847,60,3640.175,J,201
1.02,VS1,D,59.70000076,58,11121.825,J,6
1.03,SI2,I,61.20000076,59,5615.43125,J,6
2.04,VS1,H,62,61,24141.36,J,125
3.16,IF,G,61,59,81103.77,J,225
1.7,VS2,H,62.70000076,59,16747.55,J,125
1.17,SI1,G,63.70000076,55,8564.4,J,125
1.03,SI1,H,59.59999847,63,7225.45,J,6
0.73,SI1,G,60.90000153,60,3925.3195,J,184
2.15,SI1,I,62.59999847,56,19508.5625,J,29
0.94,VS1,F,63.40000153,58,7554.545,J,184
1.17,SI1,G,60.5,60,8778.51,J,184
0.9,VS1,E,62.09999847,59,7404.6375,J,184
0.38,VS2,E,61,58,1425.57,J,146
0.73,VVS2,D,58.40000153,65,5677.575,J,142
1.03,VS2,H,61.90000153,62,7735.94375,J,6
0.91,SI1,G,61.20000076,58,6031.1615,J,184
0.39,VS1,F,61.79999924,58,1567.16625,J,146
1.03,SI2,G,59.09999847,61,6793.49375,J,6
2.5,VS2,G,60.09999847,61,37057.5,J,184
0.9,IF,H,62.29999924,56,6690.9375,J,125
0.87,VS2,I,,,4079.75625,other,149
2.29,SI1,F,60.79999924,61,31744.5525,J,184
2.21,SI1,F,60.79999924,63,26550.8295,J,184
1.88,VS2,I,62.40000153,59,17288.01,J,184
1.03,SI2,E,53.59999847,63,6832.7625,J,6
1.1,VVS2,J,60.70000076,58,6411.405,J,184
1.5,VS2,H,62.20000076,62,12691.05,J,161
1.04,VS2,K,58.79999924,62,5471.7,J,6
0.39,VVS2,E,61.59999847,57,1980.5175,J,146
1.09,VS1,I,61.70000076,60,7496.7475,J,184
1.03,VS1,I,59,62,6652.12625,J,184
0.34,SI1,D,61,56,904.7825,D,216
1.04,SI2,J,61.5,55,5590.65,J,6
0.76,SI1,E,,,4056.5,J,122
1.01,VS1,H,62.29999924,61,7688.928,J,184
1.1,SI1,H,60.70000076,60,7515.2,J,184
1.04,SI2,H,61.40000153,63,5947.5,none,6
1.02,VVS2,H,60.40000153,59,8129.043,J,184
1.11,VS1,E,61.5,55,11849.25,K,201
1.04,VS2,H,61.79999924,63,7850.7,J,6
1.06,VS1,E,62.09999847,59,10604.24,J,184
1.04,VS1,H,60.59999847,62,8366.15,J,6
1.09,VS1,E,60.70000076,61,10904.36,J,184
1.07,VS1,E,59.90000153,60,10704.28,J,184
1.26,VS1,H,59.40000153,60,10207.008,J,184
0.39,VS2,F,62,60,1365.546,J,146
1.2,VS1,E,61.29999924,60,13055.22,J,184
1.3,VS1,E,59.70000076,60,13818.025,J,184
1.82,IF,J,60.40000153,60,14210.56,J,184
1.58,VS1,I,59.79999924,61,13685.96,J,184
3.46,SI1,G,61.40000153,55,49862.925,K,125
1.63,VS1,G,61.90000153,56,19886,K,201
1.72,VS1,H,59.40000153,61,18649.53,J,184
1.62,SI2,G,60,60,12846.6,J,184
1.04,SI1,G,59.59999847,62,7811.05,J,6
0.39,VS1,E,61,58,1609.3935,J,146
1.05,VS1,I,61.90000153,62,7045.5,J,6
1.05,SI2,H,63.59999847,60,5964.65625,none,6
1.05,SI1,G,57.79999924,60,7926.1875,J,6
1.05,VVS2,G,59.5,61,10207.96875,J,6
1.05,SI2,F,63.29999924,64,6725.25,J,6
1.06,SI2,K,61.09999847,62,4607.025,none,6
1.79,VS2,F,60.40000153,61,22561.38375,J,184
1.06,VS1,H,64.59999847,64,7274.25,J,6
1.06,VS2,G,59.5,61,8890.75,J,6
1.06,SI2,F,61.79999924,63,6708.475,none,6
1.06,SI2,E,62.70000076,58,7678.375,J,6
1.06,VS1,E,60.79999924,61,10911.375,J,6
0.66,SI1,E,64.09999847,56,2868.525,J,184
1.07,SI2,I,57.59999847,64,5629.5375,none,6
1.07,VS1,I,60.29999924,59,7383.66875,J,6
1.07,VS2,H,59.20000076,61,8117.95625,J,6
0.63,SI1,D,59.20000076,60,2997.54,J,184
1.59,VS2,H,60.59999847,58,14742.48,J,153
0.64,SI1,F,62.29999924,58,2903.6,J,184
1.07,SI1,F,61.70000076,64,8158.75,J,6
1.08,SI2,F,60.59999847,64,6382.125,none,6
1.08,SI2,E,58.90000153,61,7987.95,J,6
0.71,SI1,F,61.59999847,59,4071.14,J,184
1.09,VS2,I,62.20000076,63,6732.1125,J,6
1.09,VS1,H,62.59999847,59,8768.36875,J,6
1.1,SI2,I,63.5,62,5829.3125,J,6
0.76,SI1,E,62.90000153,57,4636,J,184
1.1,SI1,E,61,60,9184.3125,J,6
0.74,SI1,H,63.90000153,58,3300.8625,J,184
0.76,SI2,G,59.59999847,61,3616.08,J,184
0.39,VVS2,F,60.29999924,57,1819.935,J,146
0.78,SI1,E,59.79999924,57,4758,J,184
0.78,SI1,E,62.29999924,59,4758,J,184
1.12,I1,G,58.59999847,61,4611.6,none,6
1.15,SI2,I,63.90000153,60,5962.75,none,6
0.78,SI1,F,61.20000076,60,4472.52,J,184
1.15,SI2,G,60.79999924,64,7453.4375,J,6
1.12,VS2,J,61.90000153,56,6405,J,29
1.17,SI2,I,60.5,60,6244.875,J,6
0.79,SI2,F,62.90000153,56,4144.34,J,184
3,SI1,F,62.79999924,61,39948.9,J,74
0.51,VS1,F,63.79999924,56,2729.9025,J,184
1.17,VS2,H,59.70000076,59,9099.675,J,6
1.17,SI2,E,59.20000076,63,8832.0375,J,6
2.52,IF,H,62.09999847,62,35739.9,J,3
2.03,VVS2,H,59.40000153,62,24301.6375,J,3
0.53,VS1,G,61.5,59,2584.7835,J,184
1.92,VS2,F,61.40000153,59,25590.72,J,29
1.18,VS2,I,59.59999847,64,7467.925,J,6
0.5,VS2,G,60.70000076,58,2196,J,184
0.58,VS2,G,64.5,55,2388.15,J,184
1.02,SI2,H,58.70000076,61,5910.9,J,29
0.51,VS1,G,59.29999924,60,2487.2445,J,184
1.21,VS2,G,60.29999924,59,11071.5,J,6
0.54,VS2,E,58.59999847,57,3149.8875,J,184
0.51,VS2,F,60.20000076,59,2551.02,J,184
0.5,VS1,G,59.59999847,58,2438.475,J,184
1.22,VS1,J,61.70000076,59,7628.05,J,6
0.57,VS1,D,62.5,56,3477,J,184
0.5,VS1,D,63,54,3050,J,184
1.53,SI1,I,61,60,11386.26,J,125
0.53,VS1,D,60.59999847,59,3233,J,184
0.51,VS2,E,60.40000153,60,2659.905,J,125
2.14,VS2,H,63.29999924,57,23758.28,J,195
1.03,VS1,I,61.5,61,5615.43125,D,170
0.66,VS1,E,58.5,60,4106.52,J,184
1.2,VS2,H,59.5,60,8595.51,J,161
1.01,IF,F,60.29999924,62,11821.41875,J,125
1.3,VS1,G,61.29999924,60,12638.4375,J,6
0.6,VS1,D,58.90000153,59,3660,J,184
0.61,VS1,E,64,57,3348.9,J,184
1.09,VS1,E,61.5,58,11585.8825,J,184
1.36,SI2,H,63.59999847,62,8347.85,J,6
1.64,SI1,G,61.90000153,56,17331.93,J,184
1.01,SI1,G,62.29999924,57,7670.445,J,184
1.37,VS1,I,60.20000076,58,9923.9375,J,6
1.38,I1,K,,,4524.675,none,6
0.9,SI1,H,63.5,57,5138.64,J,184
1.4,SI1,K,57.09999847,65,7579.25,J,6
0.9,SI1,I,64.90000153,56,4308.2775,J,184
0.9,SI1,H,59,58,5270.4,J,184
1.5,SI1,G,58.70000076,64,15326.25,J,6
1.02,VS2,H,60.90000153,58,7780.611,J,184
1.02,VS1,H,61.20000076,60,7665.504,J,184
1.5,VS2,E,59.59999847,64,19729.6875,J,6
1.02,VS1,G,61.6216011,57,7948.605,I,173
1.51,VS1,J,60.70000076,61,11398.6125,J,6
1.01,SI1,F,61.29999924,58,8378.96,J,184
1.52,SI2,G,57.29999924,60,13212.6,J,6
1.53,VS1,K,63.09999847,68,8866.35,J,6
1.53,SI1,G,61.09999847,64,15457.78125,J,6
1.04,SI1,H,60.59999847,58,6838.832,J,184
1.55,VS2,H,59.40000153,59,16191.6875,J,6
0.9,SI1,H,62.09999847,56,4941,J,184
0.9,SI1,I,64.5,57,4308.2775,J,184
1.03,SI1,E,58.40000153,59,8419.22,J,184
1.02,SI1,H,61.29999924,57,7142.856,J,184
0.9,SI2,I,56.70000076,67,3479.2875,J,184
1.01,SI1,G,61.40000153,59,7578.03,J,184
1.59,VS2,J,60.90000153,58,11517.5625,J,6
1.59,VS2,I,60.5,63,13821.075,J,6
0.91,VS2,D,58.59999847,58,7216.3,J,184
1.35,SI2,E,58.29999924,59,10499.625,J,184
2.17,SI1,F,60.5,60,29078.37975,J,184
1.02,SI2,D,61.09999847,58,7545.7305,J,184
1.22,VS1,E,60.09999847,58,13272.807,J,184
1.62,SI2,J,,,8955.5625,none,6
1.01,VS1,H,60.70000076,63,7590.352,J,184
1.66,VS1,K,61.70000076,60,10379.15,none,6
1.01,SI1,G,57.90000153,63,6931.125,J,184
1.06,VS1,D,60.29999924,60,11672.7465,J,184
1.02,VS2,D,62.09999847,56,10445.1825,J,184
1.15,VS2,H,61,57,8130.385,J,161
1.22,VS1,H,63.5,56,9525.76,J,184
1.01,SI1,E,62.90000153,57,8255.74,J,184
0.9,VS2,E,62.70000076,56,7233.075,J,184
0.9,VS1,J,58.20000076,64,4220.4375,J,184
0.56,SI2,F,60.5,62,5978,D,184
0.54,VS1,E,59.90000153,58,3162.24,J,184
0.53,VS2,F,61.40000153,59,2651.06,J,184
0.58,VS2,E,61.40000153,59,3184.2,J,184
0.53,VS1,D,61.79999924,55,3435.0625,J,184
1.5,VS1,H,61.09999847,61,13553.4375,J,161
1.75,I1,D,,,8406.5625,none,6
0.51,VS2,E,61.20000076,58,2799.9,J,184
0.55,VS1,E,63.40000153,58,3019.5,J,184
1.78,SI1,J,58.70000076,62,12418.8375,J,6
1.07,SI2,F,65.40000153,59,6122.326,C,192
1.02,SI2,G,58.90000153,62,5606.022,C,192
0.55,VS1,F,62.40000153,58,3019.5,J,184
1.5,I1,K,,,4575,none,126
1.19,I1,G,,,3538.7625,none,126
0.58,VS1,F,62.90000153,58,3184.2,J,184
0.58,VS2,F,62.58250046,60,2357.1925,I,232
2.01,VS2,H,60.79999924,60,23832.31875,J,6
0.52,SI1,F,63.229599,60,1804.075,I,232
2.01,VS1,G,60.5,63,30192.7125,J,6
2.02,VS2,I,61.09999847,57,20408.3125,J,6
0.52,VS1,F,61.40000153,58,2676.375,J,125
2.02,SI1,G,60.90000153,58,25876.2,J,6
2.02,VS2,G,58.79999924,62,28340.6,J,6
1.14,I1,G,,,3477,none,126
0.76,SI1,F,,,4172.4,D,113
2.64,I1,I,,,11876.7,none,126
1.64,VS2,K,,,7878.15,none,126
0.4,SI2,F,,,884.5,none,126
2.07,VS2,G,59.79999924,64,28884.2625,J,6
1.22,VS2,H,58.59999847,60,8958.3075,J,170
2.1,VS1,J,60.40000153,58,18094.125,J,6
0.4,SI1,H,,,884.5,none,126
0.75,VS2,J,,,2287.5,none,126
1.84,SI2,K,,,7997.1,none,126
0.75,SI2,F,,,3202.5,none,113
2.11,VS2,G,60.40000153,61,30327.29375,J,6
0.5,VS1,E,58,60,2379,D,225
0.5,VS2,G,63,57,2058.75,J,225
2.25,VS1,J,60.40000153,61,18528.75,J,6
3.02,I1,I,,,15543.5625,none,181
2.29,SI2,J,62.5,62,14667.45,none,6
1.07,VVS2,H,60.20000076,59,9292.81625,J,184
1.01,VVS2,H,59.5,62,8255.74,J,184
2.56,SI2,J,63,58,16884.8,none,6
0.55,VVS2,G,60.59999847,61,2841.685,J,184
1.58,SI1,H,61.70000076,57,14336.525,J,184
3.57,VS2,I,61,59,32012.19,D,66
3.55,SI1,H,59.79999924,65,40332.4375,J,6
1.27,SI2,H,61,56,7747,J,184
1.12,SI2,G,,,3757.6,none,126
0.99,I1,G,,,2566.575,none,126
0.61,SI1,G,61.77819824,59,2162.83125,I,139
2.01,I1,G,,,3678.3,none,126
1.2,VS1,I,60.70000076,59,7320,J,217
1,SI2,H,65,60,5604.375,D,15
3.05,VS1,H,60.82799911,58,39726.32625,I,126
1,VVS2,F,60.09999847,60,10004,J,235
0.79,VS2,H,,,3373.3,D,115
2.04,IF,H,59.09999847,57,30114.48,J,184
1.12,VS2,J,61.5,56,6405,J,29
0.63,VS2,F,60.90000153,57,3466.386,J,146
1.92,SI2,E,61.09999847,58,20203.2,J,184
0.97,VS1,H,61.5,60,7041.23,J,184
1.26,VS1,I,62,56,8983.0125,J,184
0.96,VS1,E,59.70000076,65,7803.12,J,29
1.78,VS1,F,62,58,25282.853,J,15
3.02,SI1,F,59.59999847,56,46193.165,J,218
1.04,SI2,F,61.59999847,59,6750.016,J,161
2.16,I1,J,63,59,10491.39,none,15
0.93,SI1,F,62.70000076,58,5956.65,J,161
0.73,SI1,G,60.70000076,,3662.5925,none,126
0.6,VS1,E,60.40000153,58,3601.44,J,146
0.58,VS1,F,61.90000153,57,3263.805,J,146
0.9,SI1,K,65,60,3074.4,J,184
2.19,SI2,G,57.29230118,64,18034.65,I,24
0.9,VS2,E,62.59999847,60,7233.075,J,29
1.5,VS1,J,61.00540161,63,8921.25,I,24
2.68,I1,I,,,7969.65,none,126
3.02,SI1,H,60.40000153,57,25532.892,D,66
1.01,SI2,I,,,4620.75,none,10
1.33,SI2,G,63,62,8384.7855,J,29
0.9,SI1,I,62,59,3843,D,46
2.03,VS2,E,62.70000076,56,30028.775,J,201
0.75,SI2,G,,,2630.625,none,113
1.02,SI2,I,,,4666.5,none,10
1.01,SI1,H,65.30000305,56,6037.78,J,29
0.9,VS2,F,63.40000153,58,6011.55,J,129
0.66,VS2,J,,,1509.75,none,126
1.02,SI1,H,62.09999847,59,6533.1,J,125
0.7,VS1,H,62,56,3650.85,J,125
1.15,SI1,E,62.29999924,57,9400.1,J,29
1.03,VS1,I,61.29999924,58,7036.96,J,129
1.02,SI2,F,58.79999924,,5662.02,D,126
0.86,VS1,I,63.40000153,60,4196.8,D,100
1.01,SI1,F,62.29999924,57,7886.08,J,29
0.79,VVS2,I,,,4216.625,none,10
0.89,VS2,F,65,63,4750.375,J,29
1.01,SI2,E,63.59999847,,5390.875,D,126
0.91,SI1,D,64.09999847,,6022.835,D,126
2.04,VS2,I,58.70000076,57,19163.76,J,29
0.71,SI1,D,66.69999695,,3378.18,D,126
0.7,SI1,H,64,,2706.1125,D,126
0.9,VVS2,I,62.79999924,,4666.5,D,126
0.79,SI2,D,59.40000153,,3915.4375,D,126
1.7,VS2,G,61.90000153,60,19171.5375,J,29
1.56,SI1,G,62.09999847,58,14654.64,J,125
0.33,SI2,E,,,629.0625,D,20
0.9,VVS2,I,63.40000153,,4597.875,D,126
0.56,VVS2,H,60.90000153,,2211.86,D,126
1.54,VS1,I,61.09999847,63,13339.48,J,29
1.03,VVS2,I,59.79999924,,6125.925,D,126
0.7,VVS2,H,61.5,,3512.075,D,126
1.52,VS2,I,63.90000153,56,11337.338,J,74
1.52,SI1,F,61.5,59,15762.4,J,125
1.27,SI1,K,64.09999847,58,6042.66,J,29
0.52,VVS2,G,60,,2442.44,D,126
2.16,VS2,H,60.09999847,57,21882.042,D,126
1.59,VS1,H,61.09999847,60,15324.42,J,153
0.91,VS2,G,63.40000153,58,5773.04,J,129
2.15,VS1,I,61.29999924,60,18551.1675,D,126
2,VS2,I,60.5,61,16439.5,D,126
2.69,SI1,I,61,59,21823.97,D,126
1.57,VS2,H,62.40000153,60,13101.336,D,126
1.07,SI1,G,63.29999924,56,7342.875,J,29
1.51,VS2,I,57.59999847,59,10707.7875,D,126
2,VVS2,G,63.5,60,26718,J,74
3.7,VS1,J,62.40000153,59,31992.975,D,126
3.01,VS1,J,61.5,59,26026.7175,D,126
0.92,SI1,G,62.09999847,,5205.13,D,126
0.78,SI2,E,61.5,,3627.975,D,126
1.17,SI1,I,60.79999924,58,6680.232,J,29
0.93,VS1,H,61,,5559.54,D,126
1.19,VS2,I,57.40000153,62,7404.18,J,184
2,VVS2,J,57,,14030,D,126
2.17,VS2,G,60.79999924,57,30378.915,J,29
2.55,SI1,I,61.79999924,57,23954.7,J,29
0.7,SI2,H,62.09999847,,2690.1,D,126
1.79,VS2,H,60.70000076,61,17841.646,J,29
1,SI2,H,60.09999847,,5185,D,126
1.01,VS1,H,64.40000153,,6469.05,D,126
2.1,VS2,H,59.59999847,61,20399.925,D,66
1.51,VS2,G,68.80000305,,12020.355,D,126
1.02,VS2,J,61.20000076,58,5724.24,J,29
0.79,VVS2,D,60.5,58,6457.46,J,29
0.96,VVS2,F,60.90000153,59,9662.4,J,29
2.6,VS1,H,63,56,28460.77,D,126
3.03,VS2,H,61.70000076,60,39026.8545,J,29
2.02,VS2,I,62.29999924,60,16603.895,D,126
1.2,SI1,G,59.5,57,9333,J,29
2.05,VS2,I,61.29999924,58,17819.625,D,126
1.51,SI2,H,60.29999924,62,9671.55,D,126
1.2,VS1,D,62,59,13532.85,J,29
2.66,SI1,H,61.29999924,58,29571.885,J,29
1.57,SI2,I,,,8882.6675,D,126
1.32,VS2,H,62.20000076,56,9455.061,D,126
1.11,SI1,I,61.79999924,,5687.64,D,126
1.11,SI1,H,60.5,,6540.786,D,126
1,VS1,G,62,59,8344.8,J,225
1.08,SI1,G,60.59999847,,7115.04,D,126
0.93,VS1,G,,,6027.5625,D,20
2.2,VS2,I,61.40000153,59,20666.8,J,29
1.04,SI1,F,61.5,60,7612.8,J,125
2.06,VS1,J,60.79999924,59,16587.12,J,29
0.7,VS1,H,62.90000153,,3122.4375,D,126
1.28,SI2,K,58.5,61,5059.584,J,74
1.01,VS1,I,60.29999924,62,6777.1,J,29
1.01,VS2,E,62.20000076,60,9241.5,J,29
1,VS1,H,60,61,7417.6,J,225
1.22,SI1,H,60.59999847,60,8335.04,J,29
3.03,SI2,J,61.29999924,58,22179.6,J,29
1.01,VS1,E,62.59999847,60,10104.04,J,29
0.7,SI2,G,58.59999847,65,3122.4375,J,29
2.13,SI2,H,58.40000153,61,17670.48,J,29
1.04,VS2,G,61.90000153,63,7493.85,A,20
0.71,SI2,G,60.09999847,,2955.9075,D,126
3.01,I1,J,61.29999924,59,16561.622,J,29
0.71,SI1,H,59.20000076,,2955.9075,D,126
0.32,VVS2,E,,,1146.8,D,20
1.01,SI1,H,63.09999847,61,6900.32,J,29
1.59,SI2,E,61.70000076,61,14548.5,J,153
0.72,VVS2,G,56.29999924,,3952.8,D,126
1.51,VS2,G,59.59999847,64,14392.1875,J,219
1.01,VS2,G,61.5,63,7470.2125,J,220
2.52,SI2,G,61.70000076,58,24537.555,J,210
1.03,VS2,E,64.59999847,57,9424.5,J,29
1.7,SI2,G,60.5,60,11614.4,D,220
1.04,I1,D,63.59999847,59,4995.9,J,29
0.76,SI2,G,,,2636.725,none,26
1.01,VS2,H,62.79999924,59,7046.64375,J,29
2,SI2,E,57.70000076,61,20496,J,29
0.75,SI1,E,62.59999847,,4003.125,D,126
0.32,VS1,F,,,995.52,D,20
0.57,VS1,H,59.29999924,,2129.6625,D,126
0.32,VS2,F,,,895.968,D,20
