Carat,Clarity,Color,Depth,Table,Price,Lab,Dealer
1.01,SI1,I,62.70000076,59,5768.23625,J,224
1.01,VS2,I,62.70000076,59,6127.1145,J,126
1.01,VS1,F,65.59999847,57,8650.044,J,126
1.01,SI1,F,64.5,58,7393.2,J,126
1.02,SI1,G,62,61,7373.07,J,126
1,SI1,G,64.69999695,62,6496.5,J,126
1.16,SI1,G,62.20000076,57,8703.48,J,126
1.07,VS2,F,61,60,9398.88,J,126
1.12,VS1,E,60.09999847,60,11204.48,J,126
1.01,SI2,G,60.20000076,63,6367.3935,J,126
1.11,SI2,E,61.40000153,59,8125.2,J,126
1.02,VS2,J,64,60,5584.245,J,224
1,VS2,J,65.69999695,62,4773.25,J,224
1.61,SI2,I,64.19999695,57,10410.26,J,126
1.6,SI2,H,59.79999924,60,11272.8,I,166
0.73,VS1,G,61.90000153,57,4348.3545,J,26
1.29,SI2,K,58,60,5311.575,I,166
0.73,SI2,E,58.59999847,58,4090.0805,J,26
1.19,I1,J,61.29999924,55,3947.08125,I,166
1.15,SI1,K,60.09999847,57,5401.55,I,166
1.12,VS1,I,60.09999847,58,7233.38,I,166
2.54,VS2,J,62.09999847,58,19034.379,J,121
1.06,VS2,I,60.29999924,57,6183.1125,I,166
0.47,SI1,G,61.70000076,63,1451.41875,none,6
0.75,VVS2,E,61.20000076,56,5284.125,J,114
1.04,VS2,H,60.09999847,55,7255.95,I,166
1.01,SI2,E,62.20000076,58,6931.125,I,166
1.01,SI1,I,61.40000153,58,5544.9,I,166
1,VS2,I,62.70000076,52,5833.125,I,166
0.5,VS1,D,60.09999847,65,2935.625,I,166
1.04,SI2,G,60.50040054,58,5884.06,D,235
3.01,SI1,K,60.90000153,60,20656.125,J,121
0.47,SI2,E,54.20000076,67,1361.825,none,6
1.13,SI2,H,61.78010178,57,6031.375,D,235
2.71,SI1,G,60.90000153,59,34198.50625,J,210
1.14,SI1,J,60.70000076,60,5832.6675,J,224
2.52,VS1,G,62.40000153,55,37565.325,J,210
2.5,SI1,G,62.5,56,30824.0625,J,210
1,VS2,J,63.40000153,59,5474.75,J,224
1.33,SI1,K,62.09999847,59,6571.53,J,224
1,VS2,J,62.09999847,63,5474.75,J,224
1.03,VS2,J,63,61,5419.0875,J,224
0.99,SI2,I,,,4023.48375,D,154
0.48,SI1,G,61,61,1573.8,none,6
0.48,VS2,G,62.70000076,63,1665.3,G,6
0.48,SI2,E,57.79999924,65,1482.3,none,6
0.49,VS1,J,57.20000076,64,1382.4125,none,6
0.49,VS2,G,64,64,1643.95,none,6
0.49,SI1,F,63.90000153,61,1513.18125,none,6
0.73,I1,I,,,1461.69725,none,26
0.5,VS2,J,62.59999847,58,1448.75,none,6
1.08,SI1,J,63.20000076,61,5525.685,J,224
0.94,SI2,E,63.59999847,58,5318.285,J,154
0.72,VS1,K,,,2049.966,none,26
1.37,VS2,I,62.59999847,60,8639.04875,J,224
0.72,SI1,F,58.29999924,60,4096.638,J,26
0.72,I1,J,,,1281.366,none,26
1,VS2,I,60.79999924,62,5833.125,J,224
0.72,SI1,F,62,60,3874.842,J,26
0.71,SI2,G,,,3251.49825,J,26
1.01,VS1,I,61.59999847,62,6607.6725,J,224
0.71,VS1,G,62.29999924,60,4229.2215,J,26
1.02,VS2,J,62.20000076,59,5584.245,J,224
0.71,VS1,I,,,3031.7,D,26
1.12,VS2,J,61.09999847,61,6131.72,J,224
2.62,I1,G,,,7991,none,137
0.61,SI2,E,,,1681.892,none,26
1,SI1,I,64.90000153,61,5490,J,224
0.61,VS2,E,60.5,62,3255.875,J,26
0.59,VS1,D,,,3254.39575,none,26
1.01,VS2,H,62,59,7331.59,J,224
1.09,SI2,F,59.79999924,64,6516.02,D,109
0.53,VVS2,H,,,2781.9965,D,26
0.72,VS1,F,62,60,3952.8,D,85
0.7,SI2,E,58,61,2615.375,D,85
0.7,SI2,D,62.20000076,59,2508.625,D,85
1,VS1,H,61.5,61,6931.125,J,224
1.28,VS2,I,61.90000153,64,8071.52,J,224
1.38,SI2,H,61.79999924,66,8418,D,109
2.06,VS2,H,60,60,20627.089,D,15
1.12,SI1,H,58.40000153,60,7364.896,J,121
1.27,VS2,H,63.09999847,57,10516.5525,J,224
